A,1,Uruguai,9
A,2,Russia,6
B,1,Espanha,5
B,2,Portugal,5
C,1,Franca,7
C,2,Dinamarca,5
D,1,Croacia,9
D,2,Argentina,4
E,1,Brasil,7
E,2,Suica,5
F,1,Suecia,6
F,2,Mexico,6
H,1,Japao,4
H,2,Senegal,4
